4. Zeile und 26.Spalte, Wert:178787.13531962762
4. Zeile und 27.Spalte, Wert:179036.23213781393
4. Zeile und 28.Spalte, Wert:178576.9578470227
4. Zeile und 29.Spalte, Wert:180648.21697427332
4. Zeile und 30.Spalte, Wert:180819.36247748177
4. Zeile und 31.Spalte, Wert:180659.99801728528
4. Zeile und 32.Spalte, Wert:181022.03451331618
4. Zeile und 33.Spalte, Wert:181102.96397593472
4. Zeile und 34.Spalte, Wert:181582.89509773612
4. Zeile und 35.Spalte, Wert:181645.3963156445
4. Zeile und 36.Spalte, Wert:180210.14924354324
4. Zeile und 37.Spalte, Wert:181629.97385692518
4. Zeile und 38.Spalte, Wert:181412.21128117183
4. Zeile und 39.Spalte, Wert:182303.6874424476
4. Zeile und 40.Spalte, Wert:182832.13470791836
4. Zeile und 41.Spalte, Wert:182134.7286235734
4. Zeile und 42.Spalte, Wert:181861.84809952084
4. Zeile und 43.Spalte, Wert:182671.76999424584
4. Zeile und 44.Spalte, Wert:183094.64799961742
4. Zeile und 45.Spalte, Wert:182750.55176603654
4. Zeile und 46.Spalte, Wert:183079.12080120726
4. Zeile und 47.Spalte, Wert:182980.07585365273
4. Zeile und 48.Spalte, Wert:183285.87059015917
4. Zeile und 49.Spalte, Wert:182600.8867728279
4. Zeile und 50.Spalte, Wert:183167.76782421843
4. Zeile und 51.Spalte, Wert:183137.3094689971
4. Zeile und 52.Spalte, Wert:182872.12919169484
4. Zeile und 53.Spalte, Wert:183078.6079567964
4. Zeile und 54.Spalte, Wert:183193.7517053715
4. Zeile und 55.Spalte, Wert:183193.47250397204
4. Zeile und 56.Spalte, Wert:183050.88555719447
4. Zeile und 57.Spalte, Wert:183154.76586185876
4. Zeile und 58.Spalte, Wert:183032.96133778125
4. Zeile und 59.Spalte, Wert:183104.09549114716
4. Zeile und 60.Spalte, Wert:183241.56882265027
4. Zeile und 61.Spalte, Wert:183448.25815484166
4. Zeile und 62.Spalte, Wert:183490.58106035044
4. Zeile und 63.Spalte, Wert:183441.14341347825
4. Zeile und 64.Spalte, Wert:183340.29122332914
4. Zeile und 65.Spalte, Wert:183015.13026685428
4. Zeile und 66.Spalte, Wert:183249.83299400858
4. Zeile und 67.Spalte, Wert:183138.85579135432
4. Zeile und 68.Spalte, Wert:183101.31084809208
4. Zeile und 69.Spalte, Wert:183159.87648525217
4. Zeile und 70.Spalte, Wert:183384.25998326158
4. Zeile und 71.Spalte, Wert:183271.8253889602
4. Zeile und 72.Spalte, Wert:182980.45946235143
4. Zeile und 73.Spalte, Wert:183231.20326844265
4. Zeile und 74.Spalte, Wert:183427.91736945638
4. Zeile und 75.Spalte, Wert:183392.21750271303
4. Zeile und 76.Spalte, Wert:183599.16250612048
4. Zeile und 77.Spalte, Wert:183140.39845258906
4. Zeile und 78.Spalte, Wert:183278.94043960999
4. Zeile und 79.Spalte, Wert:183475.4263329683
4. Zeile und 80.Spalte, Wert:183635.72282346213
4. Zeile und 81.Spalte, Wert:183560.50993939117
4. Zeile und 82.Spalte, Wert:183505.83477852377
4. Zeile und 83.Spalte, Wert:183402.42826215323
