2. Zeile und 42.Spalte, Wert:38213.22836701924 
2. Zeile und 43.Spalte, Wert:45890.46211851051 
2. Zeile und 44.Spalte, Wert:38194.31074267962 
2. Zeile und 45.Spalte, Wert:38221.1181246863 
2. Zeile und 46.Spalte, Wert:38168.114182114514 
2. Zeile und 47.Spalte, Wert:38205.90952180844 
2. Zeile und 48.Spalte, Wert:38206.653733448096 
2. Zeile und 49.Spalte, Wert:38185.36830300227 
2. Zeile und 50.Spalte, Wert:37148.87491231145 
2. Zeile und 51.Spalte, Wert:38226.487055319376 
2. Zeile und 52.Spalte, Wert:38197.95139681462 
2. Zeile und 53.Spalte, Wert:38179.47745184283 
2. Zeile und 54.Spalte, Wert:38174.58837379922 
2. Zeile und 55.Spalte, Wert:38219.50030042587 
2. Zeile und 56.Spalte, Wert:38195.23228479181 
2. Zeile und 57.Spalte, Wert:38192.95255046226 
2. Zeile und 58.Spalte, Wert:37688.47185966586 
2. Zeile und 59.Spalte, Wert:38177.19830402173 
2. Zeile und 60.Spalte, Wert:38212.94638419748 
2. Zeile und 61.Spalte, Wert:38188.54477178888 
2. Zeile und 62.Spalte, Wert:38196.849533268134 
2. Zeile und 63.Spalte, Wert:37999.22466079664 
2. Zeile und 64.Spalte, Wert:38215.24190275256 
2. Zeile und 65.Spalte, Wert:38188.934175181734 
2. Zeile und 66.Spalte, Wert:37926.910846620514 
2. Zeile und 67.Spalte, Wert:38134.22800715668 
2. Zeile und 68.Spalte, Wert:38205.53420594931 
2. Zeile und 69.Spalte, Wert:38185.30844996977 
2. Zeile und 70.Spalte, Wert:38193.51823834003 
2. Zeile und 71.Spalte, Wert:38178.38568057822 
2. Zeile und 72.Spalte, Wert:38188.1350551443 
2. Zeile und 73.Spalte, Wert:38215.14191574337 
2. Zeile und 74.Spalte, Wert:38209.714397806965 
2. Zeile und 75.Spalte, Wert:38208.82256669503 
2. Zeile und 76.Spalte, Wert:37742.325658975424 
2. Zeile und 77.Spalte, Wert:37758.609754401296 
2. Zeile und 78.Spalte, Wert:37716.6378638532 
2. Zeile und 79.Spalte, Wert:38197.31918927728 
2. Zeile und 80.Spalte, Wert:38094.70623010541 
2. Zeile und 81.Spalte, Wert:38183.4782555385 
2. Zeile und 82.Spalte, Wert:36993.60882756183 
2. Zeile und 83.Spalte, Wert:37917.753908738116 
2. Zeile und 84.Spalte, Wert:38195.36943000385 
2. Zeile und 85.Spalte, Wert:38191.57513766131 
2. Zeile und 86.Spalte, Wert:38202.84907705791 
2. Zeile und 87.Spalte, Wert:38197.59035042123 
2. Zeile und 88.Spalte, Wert:37510.98971502058 
2. Zeile und 89.Spalte, Wert:37991.81262628746 
2. Zeile und 90.Spalte, Wert:38082.06931867713 
2. Zeile und 91.Spalte, Wert:38043.54176440255 
2. Zeile und 92.Spalte, Wert:38195.862885288465 
2. Zeile und 93.Spalte, Wert:37816.66488589492 
2. Zeile und 94.Spalte, Wert:37170.521986453205 
2. Zeile und 95.Spalte, Wert:38203.85634676768 
2. Zeile und 96.Spalte, Wert:38177.21910958963 
2. Zeile und 97.Spalte, Wert:38115.692832844084 
2. Zeile und 98.Spalte, Wert:37586.46438787283 
2. Zeile und 99.Spalte, Wert:38046.27356539211 
2. Zeile und 100.Spalte, Wert:38208.54189525642 
3. Zeile und 0.Spalte, Wert:38177.70511631251 
3. Zeile und 1.Spalte, Wert:37466.196399872984 
3. Zeile und 2.Spalte, Wert:38168.112315907616 
3. Zeile und 3.Spalte, Wert:38180.53012013002 
3. Zeile und 4.Spalte, Wert:38171.734505167515 
3. Zeile und 5.Spalte, Wert:38183.31904347524 
3. Zeile und 6.Spalte, Wert:38181.4483882779 
3. Zeile und 7.Spalte, Wert:38167.16242184304 
3. Zeile und 8.Spalte, Wert:37906.952896415205 
3. Zeile und 9.Spalte, Wert:38185.90219535934 
3. Zeile und 10.Spalte, Wert:38185.188573686726 
3. Zeile und 11.Spalte, Wert:38182.89788544448 
3. Zeile und 12.Spalte, Wert:38232.936908076954 
3. Zeile und 13.Spalte, Wert:38170.98000945338 
3. Zeile und 14.Spalte, Wert:38185.08569846941 
3. Zeile und 15.Spalte, Wert:38177.283736985286 
