2. Zeile und 49.Spalte, Wert:188938.85693393118
2. Zeile und 50.Spalte, Wert:188282.4268763714
2. Zeile und 51.Spalte, Wert:188774.54225283305
2. Zeile und 52.Spalte, Wert:188825.43002435507
2. Zeile und 53.Spalte, Wert:188734.91417829867
2. Zeile und 54.Spalte, Wert:189114.28652434092
2. Zeile und 55.Spalte, Wert:188933.47563235016
2. Zeile und 56.Spalte, Wert:188913.07817670755
2. Zeile und 57.Spalte, Wert:188737.1690363056
2. Zeile und 58.Spalte, Wert:188722.402799142
2. Zeile und 59.Spalte, Wert:188799.30790731995
2. Zeile und 60.Spalte, Wert:188635.10802086914
2. Zeile und 61.Spalte, Wert:188852.7786653618
2. Zeile und 62.Spalte, Wert:188386.79917728703
2. Zeile und 63.Spalte, Wert:188503.86251608122
2. Zeile und 64.Spalte, Wert:188264.12477829095
2. Zeile und 65.Spalte, Wert:189404.9061985657
2. Zeile und 66.Spalte, Wert:189384.71374886605
2. Zeile und 67.Spalte, Wert:189125.39016013005
2. Zeile und 68.Spalte, Wert:188811.56533238912
2. Zeile und 69.Spalte, Wert:188903.1582277152
2. Zeile und 70.Spalte, Wert:223718.02670718756
2. Zeile und 71.Spalte, Wert:188987.52403256588
2. Zeile und 72.Spalte, Wert:189119.76394484943
2. Zeile und 73.Spalte, Wert:189342.94985698687
2. Zeile und 74.Spalte, Wert:189251.15768042227
2. Zeile und 75.Spalte, Wert:188223.90618969267
2. Zeile und 76.Spalte, Wert:189092.50464767552
2. Zeile und 77.Spalte, Wert:188647.36537895259
2. Zeile und 78.Spalte, Wert:189305.4343328473
2. Zeile und 79.Spalte, Wert:189032.2409560007
2. Zeile und 80.Spalte, Wert:188952.08288830027
2. Zeile und 81.Spalte, Wert:189046.1820804255
2. Zeile und 82.Spalte, Wert:188282.68252192234
2. Zeile und 83.Spalte, Wert:188809.85187968367
2. Zeile und 84.Spalte, Wert:188812.63146333318
2. Zeile und 85.Spalte, Wert:189170.25228783768
2. Zeile und 86.Spalte, Wert:189057.60150490762
2. Zeile und 87.Spalte, Wert:189106.32082366422
2. Zeile und 88.Spalte, Wert:189005.28389876333
2. Zeile und 89.Spalte, Wert:189196.08858797638
2. Zeile und 90.Spalte, Wert:189053.53167875324
2. Zeile und 91.Spalte, Wert:188858.08934031287
2. Zeile und 92.Spalte, Wert:189161.14094799306
2. Zeile und 93.Spalte, Wert:188536.90784808755
2. Zeile und 94.Spalte, Wert:188493.59862196882
2. Zeile und 95.Spalte, Wert:188740.01947266256
2. Zeile und 96.Spalte, Wert:189403.1895743261
2. Zeile und 97.Spalte, Wert:188689.15084750555
2. Zeile und 98.Spalte, Wert:189293.97624131766
2. Zeile und 99.Spalte, Wert:189036.01672542965
2. Zeile und 100.Spalte, Wert:189089.8277809275
3. Zeile und 0.Spalte, Wert:188061.2928806474
3. Zeile und 1.Spalte, Wert:187615.1552881645
3. Zeile und 2.Spalte, Wert:187914.68133399202
3. Zeile und 3.Spalte, Wert:188091.48623983265
3. Zeile und 4.Spalte, Wert:188153.32874613992
3. Zeile und 5.Spalte, Wert:187998.5083253192
3. Zeile und 6.Spalte, Wert:187914.4902322031
3. Zeile und 7.Spalte, Wert:187737.69204580312
3. Zeile und 8.Spalte, Wert:187878.80968043327
3. Zeile und 9.Spalte, Wert:188101.75794282954
3. Zeile und 10.Spalte, Wert:188056.4853645319
3. Zeile und 11.Spalte, Wert:187909.22767662635
3. Zeile und 12.Spalte, Wert:188164.10033511164
3. Zeile und 13.Spalte, Wert:187743.1375934909
3. Zeile und 14.Spalte, Wert:188055.4841306762
3. Zeile und 15.Spalte, Wert:187979.1095556912
3. Zeile und 16.Spalte, Wert:188027.42416532643
3. Zeile und 17.Spalte, Wert:188122.5340226364
3. Zeile und 18.Spalte, Wert:187826.80682862666
3. Zeile und 19.Spalte, Wert:209237.38113748716
3. Zeile und 20.Spalte, Wert:188114.44128673978
3. Zeile und 21.Spalte, Wert:188081.46598660338
3. Zeile und 22.Spalte, Wert:187776.1231610406
3. Zeile und 23.Spalte, Wert:187977.7164995726
3. Zeile und 24.Spalte, Wert:187924.28508110822
3. Zeile und 25.Spalte, Wert:188098.42015455174
3. Zeile und 26.Spalte, Wert:188156.72658689134
3. Zeile und 27.Spalte, Wert:188087.98947201722
3. Zeile und 28.Spalte, Wert:187820.55981907656
3. Zeile und 29.Spalte, Wert:187765.62099337802
3. Zeile und 30.Spalte, Wert:187987.47912464858
3. Zeile und 31.Spalte, Wert:188017.56007845866
3. Zeile und 32.Spalte, Wert:188099.33638699897
3. Zeile und 33.Spalte, Wert:187674.1286538968
3. Zeile und 34.Spalte, Wert:187961.98740939237
3. Zeile und 35.Spalte, Wert:188018.21285239316
3. Zeile und 36.Spalte, Wert:187965.69813406566
3. Zeile und 37.Spalte, Wert:187845.2018007444
3. Zeile und 38.Spalte, Wert:187657.2476205168
3. Zeile und 39.Spalte, Wert:187894.86912017982
3. Zeile und 40.Spalte, Wert:187840.19391887437
3. Zeile und 41.Spalte, Wert:187473.85939034796
3. Zeile und 42.Spalte, Wert:187978.43193089898
3. Zeile und 43.Spalte, Wert:187962.2365070095
3. Zeile und 44.Spalte, Wert:187896.8118759518
3. Zeile und 45.Spalte, Wert:187486.28592462244
3. Zeile und 46.Spalte, Wert:187625.25779297965
3. Zeile und 47.Spalte, Wert:187373.55677156255
3. Zeile und 48.Spalte, Wert:188091.75864616467
